shipment_id,origin,destination,weight,shipping_cost,delivery_date,status
SH-2054,Spain,abc,48.98,76.11,2024/07/08,In Transit
SH-2055,Tunisia,UK,,155.29,2024-06-08,In Transit
SH-2552,Spain,Italy,12.18,79.39,2024-05-10,Delivered
SH-2057,Germany,Germany,45.45,192.54,,Pending
SH-2058,Spain,invalid,45.79,17.81,2024-03-24,Delivered
SH-2953,China,,-8.29,-8.89,2024/05/09,In Transit
SH-2060,China,Germany,11.22,-1.83,abc,Delivered
SH-2061,Tunisia,,48.2,127.57,2024-03-28,In Transit
SH-2875,Tunisia,France,,-18.42,2024/06/06,Pending
SH-2566,China,France,12.76,147.28,2024/07/25,Delivered
SH-2064,USA,,48.16,,2024/04/20,Delivered
SH-2065,USA,Italy,28.46,153.11,2024-06-12,Delivered
SH-2066,Germany,invalid,38.36,112.34,invalid,In Transit
SH-2067,Tunisia,Germany,21.31,140.54,2024/05/21,Pending
SH-2068,Spain,Germany,14.16,-2.42,2024-11-22,Delivered
SH-2069,Germany,Italy,6.53,54.09,2024-01-18,Pending
SH-2070,USA,Germany,35.58,179.01,,Delivered
SH-2071,Tunisia,Italy,33.89,103.67,09/21/2024,Delivered
SH-2072,Tunisia,,-3.38,-4.8,2024/04/04,Pending
SH-2073,USA,Italy,38.8,0.35,2024/08/15,In Transit
SH-2074,Tunisia,abc,47.88,119.3,2024/03/26,Pending
SH-2075,Tunisia,Germany,4.85,80.86,2024-08-10,In Transit
SH-2076,Tunisia,France,9.72,-13.55,2024-07-23,In Transit
SH-2077,USA,France,-7.78,66.26,03/24/2024,Pending
SH-2284,Germany,Italy,43.87,109.83,2024-02-02,In Transit
SH-2079,Spain,Italy,29.02,91.01,07/21/2024,Delivered
SH-2080,Spain,,,40.78,2024-10-19,Pending
SH-2081,China,Germany,invalid,0.01,,Delivered
SH-2082,Germany,abc,41.38,82.23,2024/04/23,Delivered
SH-2083,China,Germany,27.71,161.31,,Pending
SH-2084,Spain,France,25.81,172.77,abc,Pending
SH-2085,Germany,Italy,13.85,145.0,2024-12-16,In Transit
SH-2086,Germany,,2.54,50.25,2024/06/10,Pending
SH-2087,Germany,France,46.1,invalid,,Delivered
SH-2088,USA,,22.25,7.52,2024-11-17,In Transit
SH-2089,Spain,France,invalid,115.5,abc,Delivered
SH-2090,Spain,,23.29,invalid,2024-10-15,In Transit
SH-2091,China,Germany,-1.16,,01/28/2024,In Transit
SH-2092,USA,France,23.73,abc,invalid,In Transit
SH-2093,Spain,,,abc,abc,In Transit
SH-2094,USA,,8.75,146.69,07/05/2024,Delivered
SH-2089,Tunisia,Italy,10.19,127.04,2024-04-23,Pending
SH-2096,Germany,Germany,,89.75,2024/11/26,Pending
SH-2097,China,Italy,10.07,159.99,2024/07/23,Delivered
SH-2098,Tunisia,France,48.37,4.14,invalid,Pending
SH-2099,Spain,Germany,-3.61,141.46,2024/05/07,Pending
SH-2100,Tunisia,France,38.06,182.01,2024-10-17,Delivered
SH-2101,Tunisia,UK,37.15,invalid,05/10/2024,Delivered
SH-2102,China,France,-6.28,46.62,04/09/2024,Pending
SH-2103,Spain,UK,,128.0,08/02/2024,Delivered
SH-2104,China,Italy,43.4,192.17,2024/01/03,In Transit
SH-2105,Germany,Germany,6.65,173.49,09/17/2024,In Transit
SH-2106,Spain,Germany,invalid,invalid,2024/01/09,Pending
SH-2107,Tunisia,Germany,,66.66,08/18/2024,Pending
SH-2792,China,,3.58,133.86,2024-09-18,Pending
SH-2655,Spain,Italy,44.94,117.68,2024/03/04,Delivered
SH-2195,Tunisia,France,44.05,120.73,2024/04/25,Delivered
SH-2111,USA,France,23.5,146.86,11/13/2024,Delivered
SH-2112,Tunisia,invalid,11.45,33.17,05/28/2024,In Transit
SH-2113,USA,,25.52,186.43,2024-12-27,Pending
SH-2114,Spain,,37.44,38.36,2024/03/28,Pending
SH-2115,Germany,,33.95,,03/02/2024,In Transit
SH-2116,Spain,Germany,18.02,-17.12,2024/01/17,Delivered
SH-2117,Tunisia,Germany,16.36,3.22,invalid,Delivered
SH-2420,Spain,UK,24.73,75.86,04/13/2024,Pending
SH-2119,Spain,,-2.55,52.7,abc,In Transit
SH-2938,China,,20.68,178.07,2024/11/14,Delivered
SH-2121,Spain,UK,37.1,79.15,2024-01-20,Pending
SH-2122,Spain,Germany,9.58,-16.9,2024/01/25,In Transit
SH-2123,USA,,0.31,124.0,2024/06/05,Delivered
SH-2124,Spain,UK,35.31,84.88,,Pending
SH-2125,Spain,abc,34.68,invalid,03/21/2024,Pending
SH-2126,China,,27.35,162.15,2024-06-20,Delivered
SH-2127,China,France,,98.38,,Delivered
SH-2128,Tunisia,Italy,19.43,190.99,2024-03-26,In Transit
SH-2129,China,,17.03,165.03,2024-09-09,Delivered
SH-2130,Spain,abc,13.46,161.23,2024/06/06,In Transit
SH-2131,Germany,France,-4.65,87.01,2024-12-04,Delivered
SH-2132,China,,32.37,invalid,2024-06-27,In Transit
SH-2133,Spain,France,25.21,60.33,abc,In Transit
SH-2134,Tunisia,France,34.99,43.12,2024-02-09,Pending
SH-2135,China,,39.42,99.51,2024/02/12,In Transit
SH-2136,China,Germany,,177.7,10/27/2024,In Transit
SH-2137,Tunisia,Germany,12.05,143.95,09/11/2024,Delivered
SH-2085,Germany,UK,,56.3,2024-08-07,Delivered
SH-2065,USA,Germany,6.38,74.77,10/16/2024,Delivered
SH-2140,Germany,Germany,46.76,-10.59,2024-10-09,In Transit
SH-2141,Tunisia,Germany,6.98,149.12,2024-10-22,Delivered
SH-2142,China,UK,28.07,197.06,2024-07-07,Delivered
SH-2143,Germany,,12.36,175.83,05/05/2024,In Transit
SH-2144,Tunisia,UK,-6.09,13.32,2024-05-04,In Transit
SH-2145,Germany,,31.12,140.46,03/20/2024,Pending
SH-2146,China,Germany,30.32,106.91,2024-10-02,Delivered
SH-2147,Tunisia,France,-6.08,53.27,2024/11/28,Delivered
SH-2148,Germany,Germany,49.46,,2024-02-12,Delivered
SH-2037,Spain,France,invalid,9.03,2024/12/09,Pending
SH-2150,USA,France,invalid,90.15,2024/07/22,Pending
SH-2151,Germany,Italy,-8.42,18.71,2024/08/01,In Transit
SH-2152,Germany,France,27.56,172.0,09/15/2024,Delivered
SH-2153,Spain,Germany,-3.13,13.6,2024-09-08,Pending
SH-2154,Spain,UK,-0.32,60.38,,In Transit
SH-2155,Germany,Italy,,145.36,,Delivered
SH-2156,Tunisia,,8.85,195.86,06/15/2024,Pending
SH-2157,USA,France,27.54,165.21,2024-04-28,Delivered
SH-2158,China,France,47.38,157.01,2024/04/04,Pending
SH-2159,Spain,Italy,invalid,91.8,2024/07/14,Pending
SH-2160,Germany,,,49.33,03/26/2024,Delivered
SH-2161,USA,Germany,45.38,87.45,2024/10/06,In Transit
SH-2162,China,Italy,invalid,122.84,,Pending
SH-2163,Tunisia,Germany,47.51,invalid,2024/05/28,Delivered
SH-2468,China,Germany,48.42,111.84,2024-08-17,In Transit
SH-2165,USA,France,24.3,-10.78,2024/01/03,In Transit
SH-2166,Germany,,1.5,184.81,2024-08-14,In Transit
SH-2167,China,,48.78,62.32,2024-03-14,Pending
SH-2168,Spain,,25.63,-11.1,2024/11/18,Pending
SH-2169,USA,Italy,28.02,-1.87,2024-10-13,Pending
SH-2170,Germany,France,-8.42,-10.68,2024/09/17,Pending
SH-2171,Germany,,-2.23,59.25,2024-04-13,Pending
SH-2172,Germany,,17.39,53.12,2024-03-22,In Transit
SH-2173,Spain,France,2.09,abc,2024-07-17,Pending
SH-2174,China,,0.67,187.06,2024-10-17,In Transit
SH-2175,China,Italy,26.74,88.21,2024/12/16,In Transit
SH-2970,Spain,,16.1,,2024-04-26,Pending
SH-2177,Spain,,-9.03,,09/22/2024,Delivered
SH-2178,Spain,France,4.72,48.31,11/26/2024,In Transit
SH-2179,Spain,France,11.55,-15.23,02/13/2024,Pending
SH-2180,USA,invalid,31.55,,2024-07-09,Delivered
SH-2181,Germany,invalid,2.94,176.46,2024-01-14,Delivered
SH-2182,Germany,,,172.82,2024/07/18,In Transit
SH-2183,Germany,France,46.78,37.62,11/28/2024,Pending
SH-2184,Germany,,14.05,abc,2024/04/19,In Transit
SH-2185,China,UK,invalid,26.75,2024/03/04,In Transit
SH-2186,USA,France,5.91,14.54,2024/07/17,In Transit
SH-2187,Tunisia,Italy,9.82,,2024/09/10,Delivered
SH-2188,USA,UK,10.99,5.19,11/05/2024,Delivered
SH-2189,Spain,Germany,invalid,,2024-03-03,In Transit
SH-2190,Tunisia,Germany,-3.97,,11/16/2024,Pending
SH-2191,China,Italy,,,01/12/2024,Delivered
SH-2091,Spain,France,-2.79,117.05,07/06/2024,Pending
SH-2193,Germany,,-8.94,54.15,2024-09-05,Delivered
SH-2194,Spain,Italy,7.24,invalid,2024-09-14,Pending
SH-2195,Tunisia,Italy,13.05,116.2,invalid,In Transit
SH-2676,Spain,Germany,15.52,101.33,2024-09-26,Delivered
SH-2197,Spain,France,3.25,145.48,2024-02-01,Pending
SH-2198,China,France,12.14,12.29,10/14/2024,In Transit
SH-2199,Germany,abc,36.56,64.11,2024-04-17,In Transit
SH-2200,Germany,France,15.53,-4.0,,In Transit
SH-2201,Spain,Germany,33.61,171.82,01/21/2024,In Transit
SH-2953,China,Italy,abc,77.59,2024-09-15,Delivered
SH-2203,China,France,1.09,invalid,03/22/2024,Pending
SH-2204,China,Germany,7.06,,2024/01/24,In Transit
SH-2205,China,Germany,4.53,97.35,2024/12/16,Delivered
SH-2206,Germany,Germany,45.79,40.72,2024-06-15,Pending
SH-2207,USA,Germany,11.95,-10.58,07/12/2024,In Transit
SH-2208,Germany,Italy,22.56,66.29,2024-12-27,In Transit
SH-2209,Tunisia,,10.33,123.07,2024/06/24,Pending
SH-2210,Spain,Germany,33.1,155.87,2024/10/27,Delivered
SH-2211,Tunisia,UK,46.93,10.38,04/27/2024,Pending
SH-2212,Germany,UK,7.64,54.14,2024-05-07,Pending
SH-2213,China,France,19.47,77.43,2024-01-05,Delivered
SH-2214,Tunisia,Italy,-7.88,98.0,2024-02-16,Delivered
SH-2215,China,UK,13.6,144.51,05/26/2024,Pending
SH-2216,China,abc,4.75,118.47,,Delivered
SH-2380,Germany,France,10.72,invalid,2024-06-27,Delivered
SH-2218,USA,France,16.46,112.74,04/02/2024,In Transit
SH-2781,China,,,198.08,07/11/2024,Delivered
SH-2220,Germany,France,39.12,174.34,2024/12/22,Delivered
SH-2221,Spain,Germany,-9.36,104.76,09/04/2024,Pending
SH-2222,Germany,Italy,31.74,invalid,abc,Delivered
SH-2223,Spain,,-7.24,198.68,08/14/2024,Delivered
SH-2224,Spain,,49.02,104.16,,Delivered
SH-2225,Germany,,33.14,143.09,2024-02-25,Delivered
SH-2226,Spain,UK,0.61,154.15,09/21/2024,Delivered
SH-2892,Tunisia,Germany,-2.58,36.69,11/19/2024,In Transit
SH-2228,Tunisia,,-6.82,177.11,2024/03/06,Delivered
SH-2229,USA,France,36.93,91.36,2024/10/04,Delivered
SH-2230,USA,UK,28.68,invalid,2024/07/22,In Transit
SH-2231,Spain,France,-0.85,42.94,2024/08/10,Delivered
SH-2232,China,,abc,165.6,2024/03/10,Delivered
SH-2233,Germany,UK,,4.5,,Delivered
SH-2234,Tunisia,invalid,-6.83,68.74,,Pending
SH-2235,China,UK,,,2024/12/11,Pending
SH-2236,Germany,UK,23.21,133.1,2024/08/10,Delivered
SH-2237,Germany,UK,29.7,173.41,2024-05-19,In Transit
SH-2238,Spain,Germany,48.28,invalid,05/25/2024,In Transit
SH-2239,USA,abc,34.62,189.18,invalid,Pending
SH-2240,Germany,Germany,21.86,-12.09,2024/01/14,In Transit
SH-2241,Spain,,45.81,125.66,09/02/2024,In Transit
SH-2242,USA,France,27.43,17.99,2024/02/07,Pending
SH-2243,Spain,Germany,-9.55,4.84,2024/04/04,Delivered
SH-2244,Germany,Germany,17.03,174.51,02/21/2024,Pending
SH-2245,Germany,France,41.91,,12/11/2024,In Transit
SH-2246,China,,29.81,192.73,2024-01-03,Delivered
SH-2247,Tunisia,Italy,,126.47,invalid,Delivered
SH-2248,USA,Italy,-2.75,12.85,,Delivered
SH-2249,Spain,abc,29.38,121.78,2024/09/07,Pending
SH-2250,Tunisia,France,40.62,44.52,2024/05/13,In Transit
SH-2251,USA,,28.29,74.3,09/03/2024,Delivered
SH-2252,Tunisia,UK,36.29,167.83,10/02/2024,Delivered
SH-2253,USA,Italy,25.04,161.97,2024/12/03,Pending
SH-2254,USA,invalid,31.24,27.2,invalid,In Transit
SH-2255,Tunisia,UK,-6.68,,2024/06/05,In Transit
SH-2256,China,UK,41.34,,2024/09/02,In Transit
SH-2805,USA,France,27.73,146.86,08/27/2024,Pending
SH-2258,USA,UK,5.94,183.84,2024/09/25,In Transit
SH-2259,Tunisia,,12.36,abc,2024/08/06,Delivered
SH-2260,Spain,UK,13.82,invalid,2024-04-03,In Transit
SH-2261,Spain,Italy,-7.7,15.59,2024/12/28,Delivered
SH-2262,USA,France,-2.98,88.85,2024-05-02,In Transit
SH-2263,Spain,UK,34.05,24.13,01/02/2024,Delivered
SH-2264,Spain,France,30.89,172.67,,In Transit
SH-2221,USA,Germany,invalid,53.87,2024-06-26,Pending
SH-2266,Germany,,24.38,158.65,02/09/2024,In Transit
SH-2267,China,Germany,42.77,30.2,,Delivered
SH-2268,China,,45.45,93.6,2024/11/15,Delivered
SH-2269,China,Italy,41.94,67.88,09/11/2024,Pending
SH-2332,Tunisia,,18.43,93.5,06/13/2024,In Transit
SH-2271,Tunisia,abc,36.57,145.54,2024-01-22,Pending
SH-2272,Germany,Italy,33.56,188.81,2024-08-28,In Transit
SH-2273,Tunisia,Italy,36.4,118.85,2024-10-18,Pending
SH-2274,Germany,Italy,-3.79,149.83,,Delivered
SH-2275,China,,49.08,91.44,05/24/2024,Pending
SH-2276,Spain,abc,abc,36.19,2024-01-05,In Transit
SH-2277,Tunisia,,5.21,54.42,2024-06-27,Delivered
SH-2278,Spain,abc,47.11,150.67,2024-05-13,In Transit
SH-2279,Tunisia,Italy,35.64,,2024/05/26,Pending
SH-2280,Spain,Italy,37.77,14.89,abc,Pending
SH-2281,Tunisia,Italy,1.03,,2024/11/10,Delivered
SH-2282,Tunisia,UK,26.88,43.14,2024/05/26,Pending
SH-2283,Germany,Germany,32.12,invalid,2024-01-17,Delivered
SH-2284,China,Italy,invalid,156.9,2024-03-21,Pending
SH-2285,USA,Italy,19.74,166.98,2024/01/07,Pending
SH-2286,Germany,invalid,39.24,82.23,02/26/2024,Pending
SH-2287,USA,Italy,7.98,135.49,2024/01/14,In Transit
SH-2288,China,,19.84,abc,2024-04-15,In Transit
SH-2289,Spain,Italy,invalid,-15.85,,Pending
SH-2290,USA,,6.26,71.19,2024/01/07,Delivered
SH-2914,Spain,UK,invalid,147.42,2024/02/19,Pending
SH-2439,China,,33.17,156.31,2024-10-05,Delivered
SH-2427,Spain,Italy,11.34,,01/02/2024,Pending
SH-2294,China,Italy,42.65,invalid,2024/07/28,Pending
SH-2295,China,,21.3,111.39,07/10/2024,In Transit
SH-2296,USA,France,,-16.89,03/27/2024,Delivered
SH-2297,USA,Germany,,abc,02/12/2024,Pending
SH-2947,China,,17.11,-10.72,05/09/2024,Pending
SH-2299,Germany,UK,5.14,-13.17,2024-11-16,In Transit
SH-2300,USA,France,30.68,124.01,2024/07/22,In Transit
SH-2301,Spain,,20.05,-9.6,03/13/2024,In Transit
SH-2302,Germany,,31.92,-15.0,2024/01/18,Pending
SH-2303,China,Italy,8.08,-12.06,invalid,Delivered
SH-2304,Spain,Germany,18.56,53.87,07/09/2024,Pending
SH-2305,Spain,Germany,36.48,,2024/01/12,In Transit
SH-2306,Tunisia,Germany,34.59,abc,2024/06/14,Pending
SH-2307,Germany,,6.94,18.48,01/02/2024,Delivered
SH-2308,USA,UK,-2.27,187.3,2024/10/25,Delivered
SH-2309,USA,Germany,0.27,,2024-07-18,In Transit
SH-2310,China,,abc,117.88,11/11/2024,Delivered
SH-2311,Tunisia,abc,16.32,138.34,2024/11/02,In Transit
SH-2312,China,,-9.44,143.74,2024/04/12,Pending
SH-2313,Spain,Italy,invalid,abc,02/08/2024,Pending
SH-2314,Spain,France,-10.0,22.76,2024-06-01,Delivered
SH-2315,Tunisia,invalid,36.54,123.52,2024/07/27,In Transit
SH-2316,Germany,,29.88,137.85,2024/07/08,In Transit
SH-2317,Spain,Italy,41.04,184.27,2024/02/16,Pending
SH-2318,Germany,France,11.82,100.35,2024/10/01,In Transit
SH-2319,Germany,France,49.64,199.14,02/07/2024,Delivered
SH-2320,Tunisia,,12.99,160.25,2024-03-14,Pending
SH-2321,Germany,Germany,40.41,23.43,2024-09-14,In Transit
SH-2322,Spain,France,11.89,abc,2024-02-11,Pending
SH-2323,Tunisia,Germany,-9.07,144.32,2024-01-06,In Transit
SH-2324,Spain,Germany,13.31,181.13,invalid,In Transit
SH-2325,China,,1.89,,2024-11-25,Pending
SH-2326,Tunisia,,22.28,103.0,07/16/2024,In Transit
SH-2327,Spain,Germany,31.83,abc,2024-02-22,Pending
SH-2328,China,Germany,31.79,40.6,05/19/2024,Delivered
SH-2329,Spain,UK,23.64,60.79,2024/09/28,Delivered
SH-2330,Tunisia,,23.14,abc,12/19/2024,Pending
SH-2331,China,France,19.15,148.9,04/20/2024,Delivered
SH-2332,USA,,,171.05,2024-12-08,Delivered
SH-2333,Germany,France,32.96,55.96,2024/10/09,In Transit
SH-2334,USA,abc,abc,98.02,2024/02/09,In Transit
SH-2335,China,UK,46.25,8.31,2024/12/21,In Transit
SH-2336,Spain,Germany,49.78,191.86,2024-11-27,Delivered
SH-2337,USA,Italy,39.23,-15.39,01/17/2024,In Transit
SH-2338,Germany,UK,48.86,138.94,04/08/2024,In Transit
SH-2275,Germany,France,31.52,41.28,2024-08-09,Delivered
SH-2400,Germany,,-1.81,83.58,2024/12/15,Pending
SH-2341,Spain,UK,27.98,8.79,abc,Pending
SH-2342,USA,UK,13.2,51.77,2024/05/01,Delivered
SH-2343,Spain,France,14.8,,2024/02/26,Delivered
SH-2344,Spain,France,,188.81,2024-01-01,In Transit
SH-2345,USA,UK,26.71,41.06,2024-09-18,Delivered
SH-2346,USA,UK,2.49,-5.14,03/21/2024,Pending
SH-2347,China,,,193.81,12/13/2024,Pending
SH-2348,Tunisia,,7.56,36.58,,Pending
SH-2349,Tunisia,Italy,17.3,173.25,2024-06-15,In Transit
SH-2350,Tunisia,UK,12.38,116.17,2024/10/02,In Transit
SH-2351,China,Germany,34.21,-4.41,2024-09-18,Pending
SH-2352,USA,Germany,35.75,150.63,2024-11-23,In Transit
SH-2353,Germany,France,9.47,-17.02,11/04/2024,In Transit
SH-2354,Germany,,31.23,169.2,invalid,In Transit
SH-2355,Tunisia,,24.46,-17.04,2024-09-18,In Transit
SH-2356,Spain,,8.42,73.18,,Pending
SH-2357,Spain,,-8.96,92.22,,In Transit
SH-2358,Spain,France,22.8,166.88,2024/08/18,Delivered
SH-2359,Germany,France,19.93,138.78,2024/12/27,In Transit
SH-2360,Tunisia,Germany,-9.31,187.29,2024/05/28,Delivered
SH-2361,USA,UK,6.52,117.8,2024-02-14,Pending
SH-2362,USA,,19.44,37.69,abc,Pending
SH-2193,Germany,,-1.44,121.68,2024/08/15,Pending
SH-2364,USA,Italy,20.86,83.05,2024-12-04,In Transit
SH-2365,Germany,France,19.89,,,Pending
SH-2366,Tunisia,UK,9.11,51.32,12/09/2024,Delivered
SH-2367,USA,Italy,42.87,176.66,09/24/2024,In Transit
SH-2368,China,Italy,35.9,86.96,07/12/2024,Pending
SH-2369,Spain,Italy,3.18,52.53,2024-02-06,Delivered
SH-2370,Spain,,39.22,111.11,12/01/2024,Delivered
SH-2371,Spain,,37.22,105.89,11/13/2024,Pending
SH-2372,Tunisia,France,10.69,-2.91,2024/12/16,In Transit
SH-2373,China,,9.52,50.26,2024/06/26,Pending
SH-2374,Germany,Germany,43.12,65.99,2024/09/14,In Transit
SH-2375,Tunisia,UK,-7.04,185.76,11/05/2024,In Transit
SH-2376,Germany,invalid,3.72,46.8,09/22/2024,In Transit
SH-2377,China,Germany,-8.57,106.73,2024-10-13,Pending
SH-2378,Germany,Germany,21.66,43.75,09/14/2024,Pending
SH-2379,China,UK,-8.63,99.92,invalid,Pending
SH-2380,Tunisia,,,invalid,11/22/2024,Delivered
SH-2381,China,Germany,4.01,156.08,01/11/2024,Delivered
SH-2382,Spain,UK,40.27,179.71,2024-08-09,Delivered
SH-2383,Tunisia,,14.99,54.71,2024-09-22,Pending
SH-2384,Tunisia,UK,27.54,-13.3,08/22/2024,Pending
SH-2385,Germany,Germany,abc,-12.01,2024-03-22,In Transit
SH-2386,Tunisia,France,22.39,59.42,11/17/2024,In Transit
SH-2387,Germany,,-4.83,166.88,2024-08-09,In Transit
SH-2388,USA,,15.48,,2024/12/10,In Transit
SH-2389,Germany,Germany,9.68,46.95,2024-09-07,Delivered
SH-2390,Spain,Italy,36.32,187.16,2024-02-27,In Transit
SH-2391,Spain,Italy,-8.69,165.47,invalid,In Transit
SH-2392,Spain,UK,25.08,82.46,2024-11-04,In Transit
SH-2393,China,UK,48.7,41.02,2024-10-12,Delivered
SH-2394,China,abc,invalid,,2024-09-17,Pending
SH-2395,Tunisia,UK,,113.56,11/19/2024,Delivered
SH-2396,China,,invalid,51.39,2024-06-20,In Transit
SH-2397,Germany,invalid,-2.54,abc,02/21/2024,Delivered
SH-2398,Tunisia,,25.19,185.83,invalid,Delivered
SH-2399,Germany,,22.21,43.5,2024/02/28,Delivered
SH-2400,Tunisia,Germany,5.02,85.0,08/26/2024,Delivered
SH-2221,Germany,invalid,2.25,83.19,2024-10-03,In Transit
SH-2402,Tunisia,Italy,,invalid,01/19/2024,Delivered
SH-2403,Tunisia,Italy,18.35,95.55,08/21/2024,In Transit
SH-2404,China,UK,-6.74,92.58,2024-04-26,In Transit
SH-2405,China,,25.58,-3.76,2024/08/27,In Transit
SH-2406,Tunisia,abc,18.54,abc,,Pending
SH-2407,Spain,invalid,-8.89,,2024-11-10,Delivered
SH-2408,Spain,France,34.44,94.23,2024/10/16,In Transit
SH-2820,Spain,Italy,4.9,invalid,2024/10/11,Pending
SH-2410,Germany,UK,5.54,59.03,07/22/2024,In Transit
SH-2411,Spain,Germany,19.66,-10.71,2024/12/03,Delivered
SH-2412,China,,-5.41,132.12,,Pending
SH-2413,Tunisia,,-1.56,,12/01/2024,Delivered
SH-2414,Germany,,invalid,127.34,2024-11-18,In Transit
SH-2415,Germany,Germany,15.66,19.87,abc,Delivered
SH-2416,Germany,Germany,9.8,invalid,2024/02/19,Pending
SH-2417,USA,,13.01,96.25,2024/05/24,Pending
SH-2418,USA,,28.05,115.9,12/11/2024,Pending
SH-2419,USA,Italy,9.74,57.44,,Pending
SH-2420,China,Italy,25.24,10.24,2024-06-07,Pending
SH-2901,Germany,France,20.35,abc,06/02/2024,Delivered
SH-2422,Tunisia,,18.92,146.38,2024-07-01,Delivered
SH-2423,Germany,Germany,46.85,invalid,2024-04-19,Delivered
SH-2955,Spain,UK,16.55,-9.15,2024/07/22,Delivered
SH-2425,Spain,invalid,5.8,65.19,2024/03/21,Pending
SH-2426,Spain,,,86.07,2024-10-03,Pending
SH-2427,Spain,Italy,30.42,117.17,invalid,Delivered
SH-2428,Spain,,49.31,,12/19/2024,In Transit
SH-2429,USA,UK,41.71,40.95,abc,Delivered
SH-2430,China,Italy,-9.91,178.19,2024/11/05,In Transit
SH-2431,Spain,UK,46.78,122.82,2024/01/21,Delivered
SH-2551,Germany,Italy,21.29,128.7,,In Transit
SH-2433,Germany,UK,37.48,77.01,2024/04/17,Pending
SH-2434,Tunisia,UK,31.55,33.27,03/05/2024,In Transit
SH-2435,Germany,,27.72,,03/05/2024,Delivered
SH-2055,China,,,117.73,2024/04/28,Delivered
SH-2437,China,Italy,23.22,35.36,2024/07/16,Pending
SH-2438,Spain,UK,abc,188.97,01/04/2024,Delivered
SH-2439,Spain,Germany,,179.19,,In Transit
SH-2772,Spain,UK,11.42,36.71,2024/09/14,In Transit
SH-2441,Germany,Germany,40.26,193.37,08/06/2024,Pending
SH-2442,USA,,12.22,,2024-09-17,In Transit
SH-2443,Tunisia,Italy,-2.58,abc,2024-08-24,Pending
SH-2444,China,,16.57,81.91,2024-05-11,Pending
SH-2445,Germany,Italy,abc,31.49,invalid,Pending
