origin,destination,weight,delivery_date,status
China,Germany,7.95,2024-10-09,Delivered
Germany,France,41.38,2024-04-23,Delivered
China,Germany,27.71,2024-10-09,Pending
Spain,France,25.81,2024-10-09,Pending
Germany,Italy,13.85,2024-12-16,In Transit
Germany,France,2.54,2024-06-10,Pending
Germany,France,46.1,2024-10-09,Delivered
USA,France,22.25,2024-11-17,In Transit
Spain,France,7.95,2024-10-09,Delivered
Spain,France,23.29,2024-10-15,In Transit
China,Germany,-1.16,2024-01-28,In Transit
USA,France,23.73,2024-10-09,In Transit
USA,France,8.75,2024-07-05,Delivered
Germany,Germany,7.95,2024-11-26,Pending
China,Italy,10.07,2024-07-23,Delivered
Tunisia,France,48.37,2024-10-09,Pending
Spain,Germany,-3.61,2024-05-07,Pending
Tunisia,France,38.06,2024-10-17,Delivered
Tunisia,UK,37.15,2024-05-10,Delivered
China,France,-6.28,2024-04-09,Pending
Spain,UK,7.95,2024-08-02,Delivered
China,Italy,43.4,2024-01-03,In Transit
Germany,Germany,6.65,2024-09-17,In Transit
Spain,Germany,7.95,2024-01-09,Pending
Tunisia,Germany,7.95,2024-08-18,Pending
China,France,3.58,2024-09-18,Pending
Spain,Italy,44.94,2024-03-04,Delivered
Tunisia,France,44.05,2024-04-25,Delivered
USA,France,23.5,2024-11-13,Delivered
Tunisia,France,11.45,2024-05-28,In Transit
USA,France,25.52,2024-12-27,Pending
Spain,France,37.44,2024-03-28,Pending
Germany,France,33.95,2024-03-02,In Transit
Spain,Germany,18.02,2024-01-17,Delivered
Tunisia,Germany,16.36,2024-10-09,Delivered
Spain,UK,24.73,2024-04-13,Pending
Spain,France,-2.55,2024-10-09,In Transit
China,France,20.68,2024-11-14,Delivered
Spain,UK,37.1,2024-01-20,Pending
Spain,Germany,9.58,2024-01-25,In Transit
USA,France,0.31,2024-06-05,Delivered
Spain,UK,35.31,2024-10-09,Pending
Spain,France,34.68,2024-03-21,Pending
China,France,27.35,2024-06-20,Delivered
China,France,7.95,2024-10-09,Delivered
Tunisia,Italy,19.43,2024-03-26,In Transit
China,France,17.03,2024-09-09,Delivered
Spain,France,13.46,2024-06-06,In Transit
Germany,France,-4.65,2024-12-04,Delivered
China,France,32.37,2024-06-27,In Transit
Spain,France,25.21,2024-10-09,In Transit
Tunisia,France,34.99,2024-02-09,Pending
China,France,39.42,2024-02-12,In Transit
China,Germany,7.95,2024-10-27,In Transit
Tunisia,Germany,12.05,2024-09-11,Delivered
Germany,Germany,46.76,2024-10-09,In Transit
Tunisia,Germany,6.98,2024-10-22,Delivered
China,UK,28.07,2024-07-07,Delivered
Germany,France,12.36,2024-05-05,In Transit
Tunisia,UK,-6.09,2024-05-04,In Transit
Germany,France,31.12,2024-03-20,Pending
China,Germany,30.32,2024-10-02,Delivered
Tunisia,France,-6.08,2024-11-28,Delivered
Germany,Germany,49.46,2024-02-12,Delivered
USA,France,7.95,2024-07-22,Pending
Germany,Italy,-8.42,2024-08-01,In Transit
Germany,France,27.56,2024-09-15,Delivered
Spain,Germany,-3.13,2024-09-08,Pending
Spain,UK,-0.32,2024-10-09,In Transit
Germany,Italy,7.95,2024-10-09,Delivered
Tunisia,France,8.85,2024-06-15,Pending
USA,France,27.54,2024-04-28,Delivered
China,France,47.38,2024-04-04,Pending
Spain,Italy,7.95,2024-07-14,Pending
Germany,France,7.95,2024-03-26,Delivered
USA,Germany,45.38,2024-10-06,In Transit
China,Italy,7.95,2024-10-09,Pending
Tunisia,Germany,47.51,2024-05-28,Delivered
China,Germany,48.42,2024-08-17,In Transit
USA,France,24.3,2024-01-03,In Transit
Germany,France,1.5,2024-08-14,In Transit
China,France,48.78,2024-03-14,Pending
Spain,France,25.63,2024-11-18,Pending
USA,Italy,28.02,2024-10-13,Pending
Germany,France,-8.42,2024-09-17,Pending
Germany,France,-2.23,2024-04-13,Pending
Germany,France,17.39,2024-03-22,In Transit
Spain,France,2.09,2024-07-17,Pending
China,France,0.67,2024-10-17,In Transit
China,Italy,26.74,2024-12-16,In Transit
Spain,France,16.1,2024-04-26,Pending
Spain,France,-9.03,2024-09-22,Delivered
Spain,France,4.72,2024-11-26,In Transit
Spain,France,11.55,2024-02-13,Pending
USA,France,31.55,2024-07-09,Delivered
Germany,France,2.94,2024-01-14,Delivered
Germany,France,7.95,2024-07-18,In Transit
Germany,France,46.78,2024-11-28,Pending
Germany,France,14.05,2024-04-19,In Transit
China,UK,7.95,2024-03-04,In Transit
USA,France,5.91,2024-07-17,In Transit
Tunisia,Italy,9.82,2024-09-10,Delivered
USA,UK,10.99,2024-11-05,Delivered
Spain,Germany,7.95,2024-03-03,In Transit
Tunisia,Germany,-3.97,2024-11-16,Pending
China,Italy,7.95,2024-01-12,Delivered
Germany,France,-8.94,2024-09-05,Delivered
Spain,Italy,7.24,2024-09-14,Pending
Spain,Germany,15.52,2024-09-26,Delivered
Spain,France,3.25,2024-02-01,Pending
China,France,12.14,2024-10-14,In Transit
Germany,France,36.56,2024-04-17,In Transit
Germany,France,15.53,2024-10-09,In Transit
Spain,Germany,33.61,2024-01-21,In Transit
China,France,1.09,2024-03-22,Pending
China,Germany,7.06,2024-01-24,In Transit
China,Germany,4.53,2024-12-16,Delivered
Germany,Germany,45.79,2024-06-15,Pending
USA,Germany,11.95,2024-07-12,In Transit
Germany,Italy,22.56,2024-12-27,In Transit
Tunisia,France,10.33,2024-06-24,Pending
Spain,Germany,33.1,2024-10-27,Delivered
Tunisia,UK,46.93,2024-04-27,Pending
Germany,UK,7.64,2024-05-07,Pending
China,France,19.47,2024-01-05,Delivered
Tunisia,Italy,-7.88,2024-02-16,Delivered
China,UK,13.6,2024-05-26,Pending
China,France,4.75,2024-10-09,Delivered
Germany,France,10.72,2024-06-27,Delivered
USA,France,16.46,2024-04-02,In Transit
China,France,7.95,2024-07-11,Delivered
Germany,France,39.12,2024-12-22,Delivered
Spain,Germany,-9.36,2024-09-04,Pending
Germany,Italy,31.74,2024-10-09,Delivered
Spain,France,-7.24,2024-08-14,Delivered
Spain,France,49.02,2024-10-09,Delivered
Germany,France,33.14,2024-02-25,Delivered
Spain,UK,0.61,2024-09-21,Delivered
Tunisia,Germany,-2.58,2024-11-19,In Transit
Tunisia,France,-6.82,2024-03-06,Delivered
USA,France,36.93,2024-10-04,Delivered
USA,UK,28.68,2024-07-22,In Transit
Spain,France,-0.85,2024-08-10,Delivered
China,France,7.95,2024-03-10,Delivered
Germany,UK,7.95,2024-10-09,Delivered
Tunisia,France,-6.83,2024-10-09,Pending
China,UK,7.95,2024-12-11,Pending
Germany,UK,23.21,2024-08-10,Delivered
Germany,UK,29.7,2024-05-19,In Transit
Spain,Germany,48.28,2024-05-25,In Transit
USA,France,34.62,2024-10-09,Pending
Germany,Germany,21.86,2024-01-14,In Transit
Spain,France,45.81,2024-09-02,In Transit
USA,France,27.43,2024-02-07,Pending
Spain,Germany,-9.55,2024-04-04,Delivered
Germany,Germany,17.03,2024-02-21,Pending
Germany,France,41.91,2024-12-11,In Transit
China,France,29.81,2024-01-03,Delivered
Tunisia,Italy,7.95,2024-10-09,Delivered
USA,Italy,-2.75,2024-10-09,Delivered
Spain,France,29.38,2024-09-07,Pending
Tunisia,France,40.62,2024-05-13,In Transit
USA,France,28.29,2024-09-03,Delivered
Tunisia,UK,36.29,2024-10-02,Delivered
USA,Italy,25.04,2024-12-03,Pending
USA,France,31.24,2024-10-09,In Transit
Tunisia,UK,-6.68,2024-06-05,In Transit
China,UK,41.34,2024-09-02,In Transit
USA,France,27.73,2024-08-27,Pending
USA,UK,5.94,2024-09-25,In Transit
Tunisia,France,12.36,2024-08-06,Delivered
Spain,UK,13.82,2024-04-03,In Transit
Spain,Italy,-7.7,2024-12-28,Delivered
USA,France,-2.98,2024-05-02,In Transit
Spain,UK,34.05,2024-01-02,Delivered
Spain,France,30.89,2024-10-09,In Transit
Germany,France,24.38,2024-02-09,In Transit
China,Germany,42.77,2024-10-09,Delivered
China,France,45.45,2024-11-15,Delivered
China,Italy,41.94,2024-09-11,Pending
Tunisia,France,18.43,2024-06-13,In Transit
Tunisia,France,36.57,2024-01-22,Pending
Germany,Italy,33.56,2024-08-28,In Transit
Tunisia,Italy,36.4,2024-10-18,Pending
Germany,Italy,-3.79,2024-10-09,Delivered
China,France,49.08,2024-05-24,Pending
Spain,France,7.95,2024-01-05,In Transit
Tunisia,France,5.21,2024-06-27,Delivered
Spain,France,47.11,2024-05-13,In Transit
Tunisia,Italy,35.64,2024-05-26,Pending
Spain,Italy,37.77,2024-10-09,Pending
Tunisia,Italy,1.03,2024-11-10,Delivered
Tunisia,UK,26.88,2024-05-26,Pending
Germany,Germany,32.12,2024-01-17,Delivered
USA,Italy,19.74,2024-01-07,Pending
Germany,France,39.24,2024-02-26,Pending
USA,Italy,7.98,2024-01-14,In Transit
China,France,19.84,2024-04-15,In Transit
Spain,Italy,7.95,2024-10-09,Pending
USA,France,6.26,2024-01-07,Delivered
Spain,UK,7.95,2024-02-19,Pending
China,France,33.17,2024-10-05,Delivered
Spain,Italy,11.34,2024-01-02,Pending
China,Italy,42.65,2024-07-28,Pending
China,France,21.3,2024-07-10,In Transit
USA,France,7.95,2024-03-27,Delivered
USA,Germany,7.95,2024-02-12,Pending
China,France,17.11,2024-05-09,Pending
Germany,UK,5.14,2024-11-16,In Transit
USA,France,30.68,2024-07-22,In Transit
Spain,France,20.05,2024-03-13,In Transit
Germany,France,31.92,2024-01-18,Pending
China,Italy,8.08,2024-10-09,Delivered
Spain,Germany,18.56,2024-07-09,Pending
Spain,Germany,36.48,2024-01-12,In Transit
Tunisia,Germany,34.59,2024-06-14,Pending
Germany,France,6.94,2024-01-02,Delivered
USA,UK,-2.27,2024-10-25,Delivered
USA,Germany,0.27,2024-07-18,In Transit
China,France,7.95,2024-11-11,Delivered
Tunisia,France,16.32,2024-11-02,In Transit
China,France,-9.44,2024-04-12,Pending
Spain,Italy,7.95,2024-02-08,Pending
Spain,France,-10.0,2024-06-01,Delivered
Tunisia,France,36.54,2024-07-27,In Transit
Germany,France,29.88,2024-07-08,In Transit
Spain,Italy,41.04,2024-02-16,Pending
Germany,France,11.82,2024-10-01,In Transit
Germany,France,49.64,2024-02-07,Delivered
Tunisia,France,12.99,2024-03-14,Pending
Germany,Germany,40.41,2024-09-14,In Transit
Spain,France,11.89,2024-02-11,Pending
Tunisia,Germany,-9.07,2024-01-06,In Transit
Spain,Germany,13.31,2024-10-09,In Transit
China,France,1.89,2024-11-25,Pending
Tunisia,France,22.28,2024-07-16,In Transit
Spain,Germany,31.83,2024-02-22,Pending
China,Germany,31.79,2024-05-19,Delivered
Spain,UK,23.64,2024-09-28,Delivered
Tunisia,France,23.14,2024-12-19,Pending
China,France,19.15,2024-04-20,Delivered
Germany,France,32.96,2024-10-09,In Transit
USA,France,7.95,2024-02-09,In Transit
China,UK,46.25,2024-12-21,In Transit
Spain,Germany,49.78,2024-11-27,Delivered
USA,Italy,39.23,2024-01-17,In Transit
Germany,UK,48.86,2024-04-08,In Transit
Germany,France,-1.81,2024-12-15,Pending
Spain,UK,27.98,2024-10-09,Pending
USA,UK,13.2,2024-05-01,Delivered
Spain,France,7.95,2024-01-01,In Transit
USA,UK,26.71,2024-09-18,Delivered
USA,UK,2.49,2024-03-21,Pending
China,France,7.95,2024-12-13,Pending
Tunisia,France,7.56,2024-10-09,Pending
Tunisia,Italy,17.3,2024-06-15,In Transit
Tunisia,UK,12.38,2024-10-02,In Transit
China,Germany,34.21,2024-09-18,Pending
USA,Germany,35.75,2024-11-23,In Transit
Germany,France,9.47,2024-11-04,In Transit
Germany,France,31.23,2024-10-09,In Transit
Tunisia,France,24.46,2024-09-18,In Transit
Spain,France,8.42,2024-10-09,Pending
Spain,France,-8.96,2024-10-09,In Transit
Spain,France,22.8,2024-08-18,Delivered
Germany,France,19.93,2024-12-27,In Transit
Tunisia,Germany,-9.31,2024-05-28,Delivered
USA,UK,6.52,2024-02-14,Pending
USA,France,19.44,2024-10-09,Pending
USA,Italy,20.86,2024-12-04,In Transit
Germany,France,19.89,2024-10-09,Pending
Tunisia,UK,9.11,2024-12-09,Delivered
USA,Italy,42.87,2024-09-24,In Transit
China,Italy,35.9,2024-07-12,Pending
Spain,Italy,3.18,2024-02-06,Delivered
Spain,France,39.22,2024-12-01,Delivered
Spain,France,37.22,2024-11-13,Pending
Tunisia,France,10.69,2024-12-16,In Transit
China,France,9.52,2024-06-26,Pending
Germany,Germany,43.12,2024-09-14,In Transit
Germany,France,3.72,2024-09-22,In Transit
China,Germany,-8.57,2024-10-13,Pending
Germany,Germany,21.66,2024-09-14,Pending
China,UK,-8.63,2024-10-09,Pending
China,Germany,4.01,2024-01-11,Delivered
Spain,UK,40.27,2024-08-09,Delivered
Tunisia,France,14.99,2024-09-22,Pending
Tunisia,UK,27.54,2024-08-22,Pending
Germany,Germany,7.95,2024-03-22,In Transit
Tunisia,France,22.39,2024-11-17,In Transit
Germany,France,-4.83,2024-08-09,In Transit
USA,France,15.48,2024-12-10,In Transit
Germany,Germany,9.68,2024-09-07,Delivered
Spain,Italy,36.32,2024-02-27,In Transit
Spain,Italy,-8.69,2024-10-09,In Transit
Spain,UK,25.08,2024-11-04,In Transit
China,UK,48.7,2024-10-12,Delivered
China,France,7.95,2024-09-17,Pending
Tunisia,UK,7.95,2024-11-19,Delivered
China,France,7.95,2024-06-20,In Transit
Germany,France,-2.54,2024-02-21,Delivered
Tunisia,France,25.19,2024-10-09,Delivered
Germany,France,22.21,2024-02-28,Delivered
Tunisia,Italy,7.95,2024-01-19,Delivered
Tunisia,Italy,18.35,2024-08-21,In Transit
China,UK,-6.74,2024-04-26,In Transit
China,France,25.58,2024-08-27,In Transit
Tunisia,France,18.54,2024-10-09,Pending
Spain,France,-8.89,2024-11-10,Delivered
Spain,France,34.44,2024-10-16,In Transit
Spain,Italy,4.9,2024-10-11,Pending
Germany,UK,5.54,2024-07-22,In Transit
Spain,Germany,19.66,2024-12-03,Delivered
China,France,-5.41,2024-10-09,Pending
Tunisia,France,-1.56,2024-12-01,Delivered
Germany,France,7.95,2024-11-18,In Transit
Germany,Germany,15.66,2024-10-09,Delivered
Germany,Germany,9.8,2024-02-19,Pending
USA,France,13.01,2024-05-24,Pending
USA,France,28.05,2024-12-11,Pending
USA,Italy,9.74,2024-10-09,Pending
Germany,France,20.35,2024-06-02,Delivered
Tunisia,France,18.92,2024-07-01,Delivered
Germany,Germany,46.85,2024-04-19,Delivered
Spain,UK,16.55,2024-07-22,Delivered
Spain,France,5.8,2024-03-21,Pending
Spain,France,7.95,2024-10-03,Pending
Spain,France,49.31,2024-12-19,In Transit
USA,UK,41.71,2024-10-09,Delivered
China,Italy,-9.91,2024-11-05,In Transit
Spain,UK,46.78,2024-01-21,Delivered
Germany,Italy,21.29,2024-10-09,In Transit
Germany,UK,37.48,2024-04-17,Pending
Tunisia,UK,31.55,2024-03-05,In Transit
Germany,France,27.72,2024-03-05,Delivered
China,Italy,23.22,2024-07-16,Pending
Spain,UK,7.95,2024-01-04,Delivered
Spain,UK,11.42,2024-09-14,In Transit
Germany,Germany,40.26,2024-08-06,Pending
USA,France,12.22,2024-09-17,In Transit
Tunisia,Italy,-2.58,2024-08-24,Pending
China,France,16.57,2024-05-11,Pending
Germany,Italy,7.95,2024-10-09,Pending
China,UK,-4.52,2024-03-04,Delivered
Tunisia,Italy,-5.61,2024-07-25,Pending
USA,UK,16.83,2024-10-06,Pending
Germany,Germany,25.92,2024-05-15,In Transit
USA,France,26.52,2024-07-23,Pending
Spain,France,39.76,2024-10-15,Delivered
Spain,France,42.02,2024-03-02,In Transit
USA,UK,-3.08,2024-07-02,Pending
Germany,France,17.41,2024-07-25,Pending
USA,Germany,5.75,2024-12-20,In Transit
Germany,UK,43.94,2024-12-27,In Transit
Tunisia,Germany,11.16,2024-03-15,In Transit
USA,France,28.92,2024-05-28,Delivered
Tunisia,UK,17.78,2024-07-07,In Transit
Germany,Italy,23.62,2024-11-01,In Transit
Spain,Germany,35.17,2024-10-09,Delivered
Germany,France,3.97,2024-10-09,Pending
Germany,UK,1.37,2024-10-09,Pending
USA,France,47.67,2024-11-02,Pending
Tunisia,France,7.95,2024-11-11,In Transit
Tunisia,France,13.5,2024-10-11,Delivered
Germany,France,7.95,2024-09-28,Pending
China,France,0.48,2024-07-15,In Transit
USA,France,-3.88,2024-06-27,Delivered
Germany,France,28.67,2024-02-05,In Transit
Germany,France,18.0,2024-12-27,Pending
Germany,France,3.14,2024-06-24,In Transit
Tunisia,France,37.27,2024-06-06,Pending
Tunisia,Italy,48.79,2024-06-21,Delivered
Germany,France,27.0,2024-10-15,In Transit
Tunisia,Italy,-1.21,2024-12-03,Pending
USA,France,27.65,2024-03-23,Pending
Spain,Germany,46.15,2024-10-09,Delivered
Germany,UK,7.95,2024-09-02,Pending
Germany,France,8.96,2024-02-19,Pending
Tunisia,Germany,46.27,2024-11-17,In Transit
Spain,France,6.64,2024-10-09,In Transit
Germany,France,37.23,2024-12-18,Delivered
Germany,Germany,-9.11,2024-08-27,In Transit
Germany,France,24.95,2024-07-18,Delivered
Tunisia,France,44.41,2024-10-23,In Transit
Spain,Italy,33.42,2024-08-23,Delivered
China,France,-8.98,2024-02-12,Pending
China,Italy,47.21,2024-12-10,In Transit
Tunisia,UK,13.6,2024-09-25,In Transit
Spain,UK,5.36,2024-10-21,Pending
China,France,-3.74,2024-01-02,Pending
Tunisia,France,26.76,2024-06-26,Pending
Spain,France,4.98,2024-10-09,Pending
China,Germany,40.46,2024-07-07,Pending
USA,Italy,11.23,2024-10-09,Pending
Tunisia,Germany,31.57,2024-10-09,Delivered
Tunisia,France,9.41,2024-10-10,Pending
Tunisia,UK,17.83,2024-12-17,Pending
USA,Italy,-2.87,2024-10-17,In Transit
China,France,22.38,2024-08-02,Pending
USA,France,36.16,2024-10-21,Delivered
USA,Italy,26.93,2024-09-02,Pending
USA,UK,7.95,2024-07-03,Pending
USA,UK,19.13,2024-06-18,Pending
Tunisia,Italy,7.95,2024-04-23,Pending
Spain,France,47.31,2024-02-16,In Transit
Spain,France,17.99,2024-06-28,In Transit
USA,France,19.08,2024-10-09,In Transit
China,Italy,7.95,2024-07-14,Delivered
China,France,14.5,2024-10-09,Delivered
Spain,Germany,47.27,2024-07-22,In Transit
Spain,France,14.04,2024-06-28,In Transit
Tunisia,Germany,7.95,2024-10-07,Delivered
Spain,UK,19.32,2024-05-01,Delivered
Spain,Germany,7.95,2024-01-07,Delivered
Spain,Germany,16.94,2024-12-15,Pending
USA,France,7.95,2024-07-16,Delivered
USA,Germany,33.17,2024-03-25,In Transit
Tunisia,Italy,44.44,2024-03-01,Delivered
China,France,1.99,2024-09-23,In Transit
Tunisia,France,-4.18,2024-10-25,Delivered
USA,Italy,-7.92,2024-09-11,In Transit
Tunisia,France,12.0,2024-08-24,Pending
China,Italy,24.68,2024-07-23,In Transit
USA,France,36.34,2024-08-11,Delivered
China,France,-3.66,2024-10-09,In Transit
USA,Germany,7.95,2024-08-21,In Transit
China,France,7.95,2024-04-25,Pending
Germany,UK,16.16,2024-12-15,Pending
USA,France,19.58,2024-02-10,Delivered
Germany,France,3.99,2024-10-09,In Transit
Spain,UK,47.29,2024-09-18,Delivered
Spain,UK,19.19,2024-11-04,Delivered
Tunisia,Germany,42.93,2024-10-18,Pending
Spain,UK,29.79,2024-04-23,Delivered
China,UK,45.28,2024-10-02,Pending
Tunisia,France,-2.42,2024-10-09,Delivered
Germany,Italy,0.35,2024-02-02,In Transit
USA,UK,7.95,2024-02-24,Delivered
China,France,-6.01,2024-01-14,In Transit
China,France,-0.12,2024-10-15,Pending
USA,Germany,-7.53,2024-10-09,Delivered
Spain,France,46.88,2024-09-15,In Transit
Spain,Italy,6.62,2024-08-26,In Transit
China,Germany,41.8,2024-10-09,In Transit
China,France,39.0,2024-11-05,In Transit
Tunisia,France,38.09,2024-01-05,Delivered
Germany,France,18.91,2024-08-08,Delivered
China,UK,5.43,2024-01-17,In Transit
China,France,7.95,2024-02-09,In Transit
China,France,41.02,2024-07-08,Delivered
Germany,France,7.95,2024-10-13,In Transit
China,Germany,-1.56,2024-03-05,Pending
Spain,Germany,2.8,2024-10-09,Delivered
China,France,2.61,2024-06-26,In Transit
China,Germany,7.95,2024-03-02,Delivered
Tunisia,France,-2.39,2024-06-19,Pending
China,Germany,19.36,2024-01-11,Pending
Spain,France,6.85,2024-02-25,In Transit
Tunisia,France,-4.15,2024-10-28,In Transit
Germany,France,7.95,2024-01-23,Pending
USA,France,9.87,2024-09-12,Delivered
Germany,France,2.82,2024-01-06,Pending
Germany,Germany,13.0,2024-10-09,In Transit
USA,France,6.7,2024-10-18,Delivered
China,Germany,1.87,2024-01-23,Delivered
Germany,France,33.22,2024-01-12,Delivered
Spain,France,47.07,2024-07-09,Delivered
Tunisia,France,49.26,2024-11-17,In Transit
USA,France,42.17,2024-06-22,Delivered
USA,Germany,13.82,2024-05-19,Pending
Tunisia,France,3.62,2024-08-06,Delivered
Germany,France,22.05,2024-12-24,Pending
Germany,France,-7.26,2024-04-19,In Transit
Germany,France,49.58,2024-01-02,In Transit
USA,France,7.95,2024-11-21,Pending
Spain,Germany,-8.22,2024-02-07,In Transit
USA,France,7.95,2024-08-09,Delivered
China,France,39.5,2024-07-15,In Transit
Tunisia,Italy,48.21,2024-06-15,Pending
China,Italy,45.66,2024-11-01,In Transit
Spain,Germany,2.3,2024-02-14,Pending
Spain,UK,48.23,2024-02-01,In Transit
Germany,France,17.27,2024-05-06,Delivered
China,France,7.95,2024-10-11,Delivered
Spain,Italy,40.73,2024-01-01,Pending
China,France,7.95,2024-11-18,Delivered
China,France,7.95,2024-05-27,Delivered
Germany,Italy,3.37,2024-02-08,Pending
USA,France,45.54,2024-11-26,Delivered
Germany,UK,7.95,2024-02-18,Delivered
Tunisia,France,7.95,2024-10-09,Pending
Germany,Italy,38.86,2024-11-19,Delivered
Spain,Italy,32.35,2024-03-20,Pending
China,France,38.82,2024-02-23,Delivered
Tunisia,UK,36.74,2024-05-11,In Transit
USA,UK,40.38,2024-10-13,In Transit
Germany,France,7.95,2024-01-10,In Transit
USA,Italy,22.64,2024-09-07,In Transit
USA,France,-0.49,2024-05-11,In Transit
Spain,France,-3.16,2024-08-13,Delivered
China,France,18.07,2024-10-09,In Transit
Germany,UK,16.57,2024-06-23,Delivered
USA,Germany,7.22,2024-11-11,In Transit
Germany,France,43.84,2024-02-24,In Transit
Spain,Italy,6.62,2024-04-17,Pending
Tunisia,Italy,10.67,2024-10-09,Pending
Tunisia,Germany,-7.88,2024-10-24,In Transit
Germany,France,35.03,2024-08-21,Delivered
Spain,UK,48.18,2024-11-02,Pending
USA,France,27.39,2024-09-03,In Transit
Spain,Italy,10.52,2024-10-09,Delivered
Germany,France,1.63,2024-07-22,Delivered
Spain,France,35.36,2024-10-08,Delivered
USA,Italy,1.86,2024-11-19,Pending
Tunisia,France,38.05,2024-02-14,Pending
USA,Germany,-1.17,2024-04-25,Pending
USA,Germany,7.95,2024-10-09,Pending
Tunisia,France,7.95,2024-07-27,In Transit
China,France,7.95,2024-12-20,In Transit
Germany,France,7.95,2024-05-13,In Transit
Germany,France,20.47,2024-09-01,Delivered
Germany,UK,45.55,2024-09-14,In Transit
USA,UK,36.03,2024-09-10,Delivered
USA,Italy,-2.62,2024-10-09,In Transit
Spain,France,-2.2,2024-06-06,Delivered
Tunisia,France,19.95,2024-01-24,Delivered
Tunisia,Italy,0.43,2024-04-08,Pending
USA,France,46.39,2024-02-23,Pending
Germany,France,47.09,2024-11-19,In Transit
China,France,14.28,2024-07-02,Pending
Germany,UK,-4.92,2024-03-23,In Transit
Germany,France,-4.92,2024-10-09,In Transit
China,Italy,7.95,2024-07-15,Pending
China,Germany,39.2,2024-06-17,In Transit
Tunisia,France,7.95,2024-12-24,Pending
Tunisia,France,22.75,2024-08-26,Pending
USA,Germany,7.95,2024-07-12,In Transit
Germany,Germany,49.83,2024-10-09,In Transit
Tunisia,France,7.95,2024-01-11,Pending
Tunisia,Germany,36.61,2024-05-11,Delivered
Tunisia,France,-7.43,2024-02-07,Delivered
